"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"102822-10677691","102822-Mo-Su","102822-168","Anoumabo sans fil","","0","","102822-10677689","0","0"
"102822-10677691","102822-Mo-Su","102822-169","Koumassi Hôpital général","","1","","102822-10677690","0","0"
"102822-10185406","102822-Mo-Su","102822-17","Abobo Gare Mairie","","1","","102822-10185405","0","0"
"102822-11527162","102822-Mo-Su","102822-170","Soweto","","0","","102822-11527161","0","0"
"102822-11527162","102822-Mo-Su","102822-171","Gare communale","","1","","102822-11527160","0","0"
"102822-11527427","102822-Mo-Su","102822-172","Sicogi","","0","","102822-11527426","0","0"
"102822-11527427","102822-Mo-Su","102822-173","Gare communale","","1","","102822-11527425","0","0"
"102822-11529097","102822-Mo-Su","102822-174","Terminus 32","","0","","102822-11529095","0","0"
"102822-11529097","102822-Mo-Su","102822-175","Sicogi","","1","","102822-11529096","0","0"
"102822-11529225","102822-Mo-Su","102822-176","Sicogi","","0","","102822-15284387","0","0"
"102822-11529225","102822-Mo-Su","102822-177","Anoumabo sans fil","","1","","102822-11529223","0","0"
"102822-11529405","102822-Mo-Su","102822-178","Soweto","","0","","102822-11529404","0","0"
"102822-11529405","102822-Mo-Su","102822-179","Sicogi","","1","","102822-11529403","0","0"
"102822-10402404","102822-Mo-Su","102822-18","Cocody Riviera 2","","0","","102822-10402403","0","0"
"102822-11529699","102822-Mo-Su","102822-180","Akouédo","","0","","102822-11529698","0","0"
"102822-11529699","102822-Mo-Su","102822-181","9 kilo","","1","","102822-11529697","0","0"
"102822-11531745","102822-Mo-Su","102822-182","Ciad Eden","","0","","102822-11531744","0","0"
"102822-11531745","102822-Mo-Su","102822-183","9 kilo","","1","","102822-11531743","0","0"
"102822-11531813","102822-Mo-Su","102822-184","Sol Beni au bateau Stl","","0","","102822-11531812","0","0"
"102822-11531813","102822-Mo-Su","102822-185","9 kilo","","1","","102822-11531811","0","0"
"102822-11531971","102822-Mo-Su","102822-186","Bonoumin","","0","","102822-11531969","0","0"
"102822-11531971","102822-Mo-Su","102822-187","Abri 2000","","1","","102822-11531970","0","0"
"102822-11532200","102822-Mo-Su","102822-188","Station après barage","","0","","102822-11532198","0","0"
"102822-11532200","102822-Mo-Su","102822-189","CHU Angré","","1","","102822-11532199","0","0"
"102822-10402404","102822-Mo-Su","102822-19","Adjamé Liberté","","1","","102822-10402402","0","0"
"102822-11532307","102822-Mo-Su","102822-190","Station après barage","","0","","102822-11532305","0","0"
"102822-11532307","102822-Mo-Su","102822-191","Rosier Programme 6","","1","","102822-11532306","0","0"
"102822-11532430","102822-Mo-Su","102822-192","Station après barage","","0","","102822-11532428","0","0"
"102822-11532430","102822-Mo-Su","102822-193","Angré Petro Ivoire","","1","","102822-11532429","0","0"
"102822-11532537","102822-Mo-Su","102822-194","Riviera 2","","0","","102822-11532535","0","0"
"102822-11532537","102822-Mo-Su","102822-195","Anono","","1","","102822-11532536","0","0"
"102822-11535716","102822-Mo-Su","102822-196","Treichville Rue 12","","0","","102822-11535714","0","0"
"102822-11535716","102822-Mo-Su","102822-197","Anoumabo sans fil","","1","","102822-11535715","0","0"
"102822-11538371","102822-Mo-Su","102822-198","Maison Blanche","","0","","102822-11538370","0","0"
"102822-11538371","102822-Mo-Su","102822-199","Carrefour Lycée","","1","","102822-11538369","0","0"
"102822-10179435","102822-Mo-Su","102822-2","Abobo Gare Mairie","","0","","102822-10179434","0","0"
"102822-10402518","102822-Mo-Su","102822-20","Cocody Anono","","0","","102822-10402517","0","0"
"102822-11538539","102822-Mo-Su","102822-200","Maison Blanche","","0","","102822-11538538","0","0"
"102822-11538539","102822-Mo-Su","102822-201","Gare Sotra Marcory","","1","","102822-11538537","0","0"
"102822-11538775","102822-Mo-Su","102822-202","Ctao","","0","","102822-11538774","0","0"
"102822-11538775","102822-Mo-Su","102822-203","Carrefour Lycée","","1","","102822-11569013","0","0"
"102822-11539470","102822-Mo-Su","102822-204","Ctao","","0","","102822-11539469","0","0"
"102822-11539470","102822-Mo-Su","102822-205","Gare Sotra Marcory","","1","","102822-11539468","0","0"
"102822-11539584","102822-Mo-Su","102822-206","Mairie de Marcory","","0","","102822-11539583","0","0"
"102822-11539584","102822-Mo-Su","102822-207","Hibiscus","","1","","102822-11539582","0","0"
"102822-11539651","102822-Mo-Su","102822-208","9 Kilo","","0","","102822-11539650","0","0"
"102822-11539651","102822-Mo-Su","102822-209","Riviera 2 Station","","1","","102822-11539649","0","0"
"102822-10402518","102822-Mo-Su","102822-21","Adjamé Gare en Haut","","1","","102822-10402516","0","0"
"102822-11539787","102822-Mo-Su","102822-210","Saint Jean","","0","","102822-11539785","0","0"
"102822-11539787","102822-Mo-Su","102822-211","Blockhauss","","1","","102822-11539786","0","0"
"102822-11543111","102822-Mo-Su","102822-212","Chu","","0","","102822-11543110","0","0"
