"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code"
"102822-NODE/10289441907","","RTI Publicité","","5.3771","-3.995406","","","0","","","0","",""
"102822-NODE/10290362012","","Akwaba","","5.374663","-3.990447","","","0","","","0","",""
"102822-NODE/10290362014","","Justice du commerce","","5.373244","-3.985335","","","0","","","0","",""
"102822-NODE/10290362015","","Commisariat 30è Art.","","5.373836","-3.984465","","","0","","","0","",""
"102822-NODE/10290362016","","Assurance Royale","","5.37224","-3.982978","","","0","","","0","",""
"102822-NODE/10290362017","","Carrefour Grande Mosquée","","5.371376","-3.982168","","","0","","","0","",""
"102822-NODE/10290362018","","Pharmacie Saint Bernard","","5.367429","-3.979502","","","0","","","0","",""
"102822-NODE/10290362020","","Carrefour Boulangerie","","5.36886","-3.980151","","","0","","","0","",""
"102822-NODE/10290362022","","Ancien Saritel","","5.371277","-3.982161","","","0","","","0","",""
"102822-NODE/10290362023","","Cité Abri 2000","","5.371662","-3.982508","","","0","","","0","",""
"102822-NODE/10290362024","","Assurance Royale","","5.372511","-3.983368","","","0","","","0","",""
"102822-NODE/10290362025","","Commisariat 30è Art.","","5.373741","-3.984739","","","0","","","0","",""
"102822-NODE/10290362026","","Carrefour Gobelet","","5.372949","-3.985549","","","0","","","0","",""
"102822-NODE/10290362027","","Eglise Cema","","5.372437","-3.9861","","","0","","","0","",""
"102822-NODE/10290362028","","Ambassade du Mali","","5.371881","-3.988486","","","0","","","0","",""
"102822-NODE/10290362029","","Ambassade du Mali","","5.371792","-3.988544","","","0","","","0","",""
"102822-NODE/10290362030","","Immigration Canada","","5.371801","-3.989214","","","0","","","0","",""
"102822-NODE/10290362031","","Immigration Canada","","5.371688","-3.989408","","","0","","","0","",""
"102822-NODE/10293232212","","Gare Abatta Village","","5.32822","-3.916714","","","0","","","0","",""
"102822-NODE/10293232213","","Carrefour Pinasse","","5.328178","-3.922469","","","0","","","0","",""
"102822-NODE/10293232214","","Miami beach","","5.332169","-3.922598","","","0","","","0","",""
